Shiran&yonatan,,,,,,,,,,,,Boaz,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,alt,lat,lon,Equal,lat diff,lon diff ,alt diff,,,,,,lat,lon,alt,
01/12/2017 10:43,Lenovo PB2-690Y,00:78:9e:fa:0e:5c,Miller,46.85442359,32.17242812,34.81272304,1,0,0,0,,00:78:9e:fa:0e:5c,Miller,1,-78,32.17242812,34.81272304,46.85442359,01/12/2017 10:46
01/12/2017 11:06,SM-G950F,00:78:9e:fa:0e:db,snapper1,35.18755396,32.16990288,34.81229082,1,2.1359E-09,2.5054E-09,9.57598E-10,,00:78:9e:fa:0e:db,snapper1,1,-91,32.16990288,34.81229082,35.18755396,01/12/2017 11:06
01/12/2017 10:45,Lenovo PB2-690Y,00:78:9e:fa:3b:62,geller,37.4805874,32.17020133,34.81244903,1,1.926E-10,4.49305E-10,1.33397E-10,,00:78:9e:fa:3b:62,geller,11,-90,32.17020133,34.81244903,37.4805874,01/12/2017 10:45
01/12/2017 10:58,Lenovo PB2-690Y,00:78:9e:fa:6f:c3,HOTBOX-F028,33.08982997,32.17041204,34.81356405,1,1.643E-09,9.59005E-10,5.53939E-11,,00:78:9e:fa:6f:c3,HOTBOX-F028,1,-80,32.17041204,34.81356405,33.08982997,01/12/2017 10:58
01/12/2017 11:10,Lenovo PB2-690Y,00:78:9e:fa:b2:d0,Avisky,29,32.16871788,34.811185,1,0,0,0,,00:78:9e:fa:b2:d0,Avisky,11,-91,32.16871788,34.811185,29,01/12/2017 11:10
01/12/2017 10:50,SM-G950F,00:78:9e:fb:1e:09,HOTBOX-4D4E,30.62659342,32.17005339,34.81099874,1,8.28202E-10,3.84297E-10,2.7203E-09,,00:78:9e:fb:1e:09,HOTBOX-4D4E,1,-91,32.17005339,34.81099874,30.62659342,01/12/2017 10:50
01/12/2017 10:50,Lenovo PB2-690Y,00:c0:02:0a:c6:c2,luxynet,37,32.17134232,34.81165241,1,0,0,0,,00:c0:02:0a:c6:c2,luxynet,7,-93,32.17134232,34.81165241,37,01/12/2017 10:50
01/12/2017 10:44,Lenovo PB2-690Y,00:f6:63:15:58:80,kaymeraQA,38,32.16872739,34.81060785,1,0,0,0,,00:f6:63:15:58:80,kaymeraQA,1,-82,32.16872739,34.81060785,38,01/12/2017 10:44
01/12/2017 10:53,SM-G950F,00:f6:63:15:58:81,KaymeraDev,36.75506604,32.17050019,34.81123732,1,0.000190873,8.99204E-05,1.880481924,,00:f6:63:15:58:81,KaymeraDev,1,-78,32.17030932,34.8111474,34.87458411,01/12/2017 10:53
01/12/2017 10:44,Lenovo PB2-690Y,00:f6:63:15:58:82,KaymeraGuest,38.99324325,32.17097321,34.81144726,1,0,0,0,,00:f6:63:15:58:82,KaymeraGuest,1,-86,32.17097321,34.81144726,38.99324325,01/12/2017 10:44
